stamp,x,y,z,roll,pitch,yaw
1715322438.477305,1.495293,18.999496,0.000000,0.000000,0.000000,3.010693
1715322438.527676,1.247432,19.032127,0.000000,0.000000,0.000000,3.036873
1715322438.578207,0.998801,19.058259,0.000000,0.000000,0.000000,3.063053
1715322438.628587,0.749572,19.077874,0.000000,0.000000,0.000000,3.089233
1715322438.679096,0.499914,19.090958,0.000000,0.000000,0.000000,3.115413
1715322438.729442,0.250000,19.097502,0.000000,0.000000,0.000000,3.141593
1715322438.779820,0.000000,19.097502,0.000000,0.000000,-0.000000,-3.115413
1715322438.830178,-0.249914,19.090958,0.000000,0.000000,-0.000000,-3.089233
1715322438.880750,-0.499572,19.077874,0.000000,0.000000,-0.000000,-3.063053
1715322438.931263,-0.748801,19.058259,0.000000,0.000000,-0.000000,-3.036873
1715322438.981897,-0.997432,19.032127,0.000000,0.000000,-0.000000,-3.010693
1715322439.032261,-1.245293,18.999496,0.000000,0.000000,-0.000000,-2.984513
1715322439.082608,-1.492215,18.960387,0.000000,0.000000,-0.000000,-2.958333
1715322439.133041,-1.738029,18.914828,0.000000,0.000000,-0.000000,-2.932153
1715322439.183691,-1.982565,18.862850,0.000000,0.000000,-0.000000,-2.905973
1715322439.234241,-2.225658,18.804489,0.000000,0.000000,-0.000000,-2.879793
1715322439.284848,-2.467139,18.739784,0.000000,0.000000,-0.000000,-2.853613
1715322439.335232,-2.706844,18.668780,0.000000,0.000000,-0.000000,-2.827433
1715322439.385593,-2.944608,18.591526,0.000000,0.000000,-0.000000,-2.801253
1715322439.436220,-3.180269,18.508074,0.000000,0.000000,-0.000000,-2.775074
1715322439.486586,-3.413664,18.418482,0.000000,0.000000,-0.000000,-2.748894
1715322439.536958,-3.644634,18.322811,0.000000,0.000000,-0.000000,-2.722714
1715322439.587306,-3.873020,18.221127,0.000000,0.000000,-0.000000,-2.696534
1715322439.637679,-4.098666,18.113500,0.000000,0.000000,-0.000000,-2.670354
1715322439.688041,-4.321418,18.000002,0.000000,0.000000,-0.000000,-2.644174
1715322439.738490,-4.541122,17.880712,0.000000,0.000000,-0.000000,-2.617994
1715322439.789190,-4.757629,17.755712,0.000000,0.000000,-0.000000,-2.591814
1715322439.839638,-4.970789,17.625088,0.000000,0.000000,-0.000000,-2.565634
1715322439.890042,-5.180456,17.488928,0.000000,0.000000,-0.000000,-2.539454
1715322439.940428,-5.386488,17.347326,0.000000,0.000000,-0.000000,-2.513274
1715322439.990820,-5.588742,17.200380,0.000000,0.000000,-0.000000,-2.487094
1715322440.041296,-5.787081,17.048190,0.000000,0.000000,-0.000000,-2.460914
1715322440.091682,-5.981367,16.890860,0.000000,0.000000,-0.000000,-2.434734
1715322440.142056,-6.171469,16.728498,0.000000,0.000000,-0.000000,-2.408554
1715322440.192543,-6.357255,16.561215,0.000000,0.000000,-0.000000,-2.382374
1715322440.243081,-6.538598,16.389126,0.000000,0.000000,-0.000000,-2.356194
1715322440.293701,-6.715375,16.212350,0.000000,0.000000,-0.000000,-2.330015
1715322440.344121,-6.887464,16.031006,0.000000,0.000000,-0.000000,-2.303835
1715322440.394467,-7.054746,15.845220,0.000000,0.000000,-0.000000,-2.277655
1715322440.444881,-7.217108,15.655118,0.000000,0.000000,-0.000000,-2.251475
1715322440.495292,-7.374438,15.460832,0.000000,0.000000,-0.000000,-2.225295
1715322440.545874,-7.526629,15.262493,0.000000,0.000000,-0.000000,-2.199115
1715322440.596297,-7.673575,15.060239,0.000000,0.000000,-0.000000,-2.172935
1715322440.646774,-7.815177,14.854208,0.000000,0.000000,-0.000000,-2.146755
1715322440.697206,-7.951336,14.644540,0.000000,0.000000,-0.000000,-2.120575
1715322440.747581,-8.081961,14.431380,0.000000,0.000000,-0.000000,-2.094395
1715322440.798064,-8.206961,14.214874,0.000000,0.000000,-0.000000,-2.068215
1715322440.848486,-8.326251,13.995169,0.000000,0.000000,-0.000000,-2.042035
1715322440.898836,-8.439748,13.772418,0.000000,0.000000,-0.000000,-2.015855
1715322440.949408,-8.547376,13.546771,0.000000,0.000000,-0.000000,-1.989675
1715322440.999788,-8.649060,13.318385,0.000000,0.000000,-0.000000,-1.963495
1715322441.050161,-8.744731,13.087415,0.000000,0.000000,-0.000000,-1.937315
1715322441.100906,-8.834323,12.854020,0.000000,0.000000,-0.000000,-1.911136
1715322441.151690,-8.917775,12.618360,0.000000,0.000000,-0.000000,-1.884956
1715322441.202026,-8.995029,12.380595,0.000000,0.000000,-0.000000,-1.858776
1715322441.252424,-9.066033,12.140891,0.000000,0.000000,-0.000000,-1.832596
1715322441.302818,-9.130738,11.899409,0.000000,0.000000,-0.000000,-1.806416
1715322441.353168,-9.189099,11.656317,0.000000,0.000000,-0.000000,-1.780236
1715322441.403541,-9.241077,11.411780,0.000000,0.000000,-0.000000,-1.754056
1715322441.454072,-9.286636,11.165966,0.000000,0.000000,-0.000000,-1.727876
1715322441.504747,-9.325744,10.919044,0.000000,0.000000,-0.000000,-1.701696
1715322441.555222,-9.358376,10.671183,0.000000,0.000000,-0.000000,-1.675516
1715322441.605642,-9.384508,10.422552,0.000000,0.000000,-0.000000,-1.649336
1715322441.656053,-9.404123,10.173323,0.000000,0.000000,-0.000000,-1.623156
1715322441.706470,-9.417207,9.923665,0.000000,0.000000,-0.000000,-1.596976
1715322441.757273,-9.423751,9.673751,0.000000,0.000000,-0.000000,-1.570796
1715322441.807683,-9.423751,9.423751,0.000000,0.000000,-0.000000,-1.544616
1715322441.858057,-9.417207,9.173837,0.000000,0.000000,-0.000000,-1.518436
1715322441.908450,-9.404123,8.924179,0.000000,0.000000,-0.000000,-1.492257
1715322441.958879,-9.384508,8.674950,0.000000,0.000000,-0.000000,-1.466077
1715322442.009417,-9.358376,8.426320,0.000000,0.000000,-0.000000,-1.439897
1715322442.060021,-9.325744,8.178458,0.000000,0.000000,-0.000000,-1.413717
1715322442.110402,-9.286636,7.931536,0.000000,0.000000,-0.000000,-1.387537
1715322442.160779,-9.241077,7.685723,0.000000,0.000000,-0.000000,-1.361357
1715322442.211151,-9.189099,7.441186,0.000000,0.000000,-0.000000,-1.335177
1715322442.261709,-9.130738,7.198093,0.000000,0.000000,-0.000000,-1.308997
1715322442.312190,-9.066033,6.956612,0.000000,0.000000,-0.000000,-1.282817
1715322442.362605,-8.995029,6.716907,0.000000,0.000000,-0.000000,-1.256637
1715322442.412912,-8.917775,6.479143,0.000000,0.000000,-0.000000,-1.230457
1715322442.463310,-8.834323,6.243482,0.000000,0.000000,-0.000000,-1.204277
1715322442.513727,-8.744731,6.010087,0.000000,0.000000,-0.000000,-1.178097
1715322442.564174,-8.649060,5.779117,0.000000,0.000000,-0.000000,-1.151917
1715322442.614594,-8.547376,5.550731,0.000000,0.000000,-0.000000,-1.125737
1715322442.665052,-8.439748,5.325085,0.000000,0.000000,-0.000000,-1.099557
1715322442.715476,-8.326251,5.102333,0.000000,0.000000,-0.000000,-1.073377
1715322442.766003,-8.206961,4.882629,0.000000,0.000000,-0.000000,-1.047198
1715322442.816580,-8.081961,4.666122,0.000000,0.000000,-0.000000,-1.021018
1715322442.866954,-7.951336,4.452962,0.000000,0.000000,-0.000000,-0.994838
1715322442.917285,-7.815177,4.243295,0.000000,0.000000,-0.000000,-0.968658
1715322442.967659,-7.673575,4.037263,0.000000,0.000000,-0.000000,-0.942478
1715322443.018022,-7.526629,3.835009,0.000000,0.000000,-0.000000,-0.916298
1715322443.068430,-7.374438,3.636671,0.000000,0.000000,-0.000000,-0.890118
1715322443.118934,-7.217108,3.442384,0.000000,0.000000,-0.000000,-0.863938
1715322443.169727,-7.054746,3.252283,0.000000,0.000000,-0.000000,-0.837758
1715322443.220308,-6.887464,3.066496,0.000000,0.000000,-0.000000,-0.811578
1715322443.270678,-6.715375,2.885153,0.000000,0.000000,-0.000000,-0.785398
1715322443.321056,-6.538598,2.708376,0.000000,0.000000,-0.000000,-0.759218
1715322443.371410,-6.357255,2.536287,0.000000,0.000000,-0.000000,-0.733038
1715322443.421773,-6.171469,2.369005,0.000000,0.000000,-0.000000,-0.706858
1715322443.472245,-5.981367,2.206643,0.000000,0.000000,-0.000000,-0.680678
1715322443.522652,-5.787081,2.049313,0.000000,0.000000,-0.000000,-0.654498
1715322443.573019,-5.588742,1.897122,0.000000,0.000000,-0.000000,-0.628319
1715322443.623709,-5.386488,1.750176,0.000000,0.000000,-0.000000,-0.602139
1715322443.674132,-5.180456,1.608574,0.000000,0.000000,-0.000000,-0.575959
1715322443.724527,-4.970789,1.472415,0.000000,0.000000,-0.000000,-0.549779
1715322443.774887,-4.757629,1.341790,0.000000,0.000000,-0.000000,-0.523599
1715322443.825269,-4.541122,1.216790,0.000000,0.000000,-0.000000,-0.497419
1715322443.875650,-4.321418,1.097500,0.000000,0.000000,-0.000000,-0.471239
1715322443.926080,-4.098666,0.984003,0.000000,0.000000,-0.000000,-0.445059
1715322443.976453,-3.873020,0.876375,0.000000,0.000000,-0.000000,-0.418879
1715322444.026800,-3.644634,0.774691,0.000000,0.000000,-0.000000,-0.392699
1715322444.077153,-3.413664,0.679020,0.000000,0.000000,-0.000000,-0.366519
